insee	osm	geonames	wikidata	wikipedia	databnf	viaf	siaf	inha
01193	145866	6424552	Q664856	https://fr.wikipedia.org/wiki/Izieu	ark:/12148/cb15242933z	246653797		ark:/54721/2f19002c-858c-468a-96d7-476322b7a7a2
01194	145681	3012444	Q244528	https://fr.wikipedia.org/wiki/Jassans-Riottier	ark:/12148/cb152429349	303024957	18347889	
01195	140086	6424554	Q274648	https://fr.wikipedia.org/wiki/Jasseron	ark:/12148/cb15242935n			
01196	139154	6424555	Q637092	https://fr.wikipedia.org/wiki/Jayat	ark:/12148/cb152429360			
01197	142150	6424556	Q244524	https://fr.wikipedia.org/wiki/Journans	ark:/12148/cb15242937b			
01198	147990	6453501	Q845861	https://fr.wikipedia.org/wiki/Joyeux_(Ain)	ark:/12148/cb15242938p	130294545		
01199	145527	6424557	Q844812	https://fr.wikipedia.org/wiki/Jujurieux	ark:/12148/cb152429391			
01200	145123	6453502	Q543731	https://fr.wikipedia.org/wiki/Labalme	ark:/12148/cb152429407			
01201		3009801	Q52346532	https://fr.wikipedia.org/wiki/Lacoux				
01202	146722	3009073	Q236436	https://fr.wikipedia.org/wiki/Lagnieu	ark:/12148/cb15242941k	248650918	18340799	ark:/54721/0ac47203-48ba-4a9f-8bc5-6bccc6a9cc6c
01203	140028	6424559	Q692252	https://fr.wikipedia.org/wiki/Laiz	ark:/12148/cb15242942x			
01204	5756893				ark:/12148/cb152429438			
01205	142151	6424561	Q275302	https://fr.wikipedia.org/wiki/Lancrans	ark:/12148/cb15242944m		18299020	
01206	145531	6424562	Q275345	https://fr.wikipedia.org/wiki/Lantenay_(Ain)	ark:/12148/cb15242945z			
01207	145673	6453503	Q859323	https://fr.wikipedia.org/wiki/Lapeyrouse_(Ain)	ark:/12148/cb152429469			
01208	103638	6424563	Q838677	https://fr.wikipedia.org/wiki/Lavours	ark:/12148/cb15242947n			
01209	142158	6424564	Q176415	https://fr.wikipedia.org/wiki/L%C3%A9az	ark:/12148/cb152429480	243207510		
01210	139516	6612203	Q24643	https://fr.wikipedia.org/wiki/L%C3%A9lex_(Ain)	ark:/12148/cb15242949b			
01211	142149	6424566	Q637204	https://fr.wikipedia.org/wiki/Lent_(Ain)	ark:/12148/cb15242950j			
01212	138974	6424567	Q840844	https://fr.wikipedia.org/wiki/Lescheroux	ark:/12148/cb15242951w			
01213	148032	6424568	Q643569	https://fr.wikipedia.org/wiki/Leyment	ark:/12148/cb152429527			ark:/54721/b40a4a20-9e2f-45f0-84c8-f44f3de1b072
01214	140761	2998678	Q853394	https://fr.wikipedia.org/wiki/Leyssard	ark:/12148/cb15242953k		18328632	
01215	145616				ark:/12148/cb15242954x			
01216	146623	6424570	Q838570	https://fr.wikipedia.org/wiki/Lhuis	ark:/12148/cb152429558	234629167		
01217		2998325	Q52151368	https://fr.wikipedia.org/wiki/Lilignod				
01218	147327	6424571	Q271904	https://fr.wikipedia.org/wiki/Lochieu	ark:/12148/cb15242957z	237450591		
01219	146685	6424572	Q840079	https://fr.wikipedia.org/wiki/Lompnas	ark:/12148/cb152429589			
01220		2997795	Q52348877	https://fr.wikipedia.org/wiki/Lompnes				
01221	145684	6424573	Q271289	https://fr.wikipedia.org/wiki/Lompnieu	ark:/12148/cb15242959n	246283278	18369740	
01222		2997746	Q52348055	https://fr.wikipedia.org/wiki/Longecombe				
01223		2997299	Q42840098	https://fr.wikipedia.org/wiki/Loyes				
